Date : 2021-02-16 09:09:10
Directory : /Users/ardhian/Documents/TA FIX/my-final-project/src
Total : 182 files,  16502 codes, 484 comments, 1412 blanks, all 18398 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/DataPosko/DataPosko.css                     | CSS        |         38 |          0 |          6 |         44 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/DataPosko/DataPosko.js                      | JavaScript |         35 |          1 |          4 |         40 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/DataPosko/DataPoskoById.js                  | JavaScript |        199 |          4 |          9 |        212 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/DataPosko/Map.js                            | JavaScript |         47 |          1 |          4 |         52 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/DataPosko/TabelPengungsi.js                 | JavaScript |         74 |          1 |          6 |         81 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/DataPosko/TabelPetugas.js                   | JavaScript |         61 |          0 |          6 |         67 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/DataPosko/index.js                          | JavaScript |         93 |          5 |         11 |        109 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/LoginAdmin.js                               | JavaScript |        132 |          5 |         12 |        149 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/MainAdmin.js                                | JavaScript |         54 |          1 |          8 |         63 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/MapPosko/index.js                           | JavaScript |         93 |          2 |          9 |        104 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/PermintaanBantuan/DataPermintaan.js         | JavaScript |         48 |          1 |          4 |         53 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/PermintaanBantuan/PermintaanBantuanById.js  | JavaScript |         82 |         19 |          9 |        110 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/PermintaanBantuan/TabelData.js              | JavaScript |         64 |          0 |          6 |         70 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/PermintaanBantuan/index.js                  | JavaScript |         96 |          5 |         10 |        111 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Admin/Pages/PermintaanBantuan/style.css                 | CSS        |          3 |          0 |          0 |          3 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/App.css                                                 | CSS        |         33 |          0 |          6 |         39 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/App.js                                                  | JavaScript |        277 |         13 |         13 |        303 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Coba.js                                                 | JavaScript |         15 |          1 |          3 |         19 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Components/401.js                                       | JavaScript |         40 |          1 |          4 |         45 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Components/404.js                                       | JavaScript |          5 |          0 |          3 |          8 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Components/Footer.js                                    | JavaScript |         18 |          0 |          3 |         21 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Components/Header.css                                   | CSS        |         12 |          0 |          3 |         15 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Components/Header.js                                    | JavaScript |         46 |          0 |          4 |         50 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Components/LoginCoba.js                                 | JavaScript |         69 |         12 |          4 |         85 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Components/MenuBar.js                                   | JavaScript |        192 |          5 |         19 |        216 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Components/MenuBars.js                                  | JavaScript |        156 |          9 |          8 |        173 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Components/Modal.js                                     | JavaScript |        105 |          1 |          8 |        114 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Components/Snackbars.js                                 | JavaScript |         45 |          0 |          8 |         53 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Components/Spinner.js                                   | JavaScript |         17 |          1 |          2 |         20 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Components/Tabel.js                                     | JavaScript |         55 |          0 |          6 |         61 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Components/footer.css                                   | CSS        |         10 |          0 |          0 |         10 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Error.js                                                | JavaScript |          5 |          0 |          2 |          7 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/MainPage/InfoDonasi.js                                  | JavaScript |         48 |          0 |          2 |         50 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/MainPage/MainPage.js                                    | JavaScript |        208 |          1 |         12 |        221 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/MainPage/MapMain.js                                     | JavaScript |         91 |          4 |          9 |        104 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Petugas/Components/MenuPetugas.js                       | JavaScript |         70 |          1 |          7 |         78 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Petugas/Pages/LaporanBencana/FasumPenanganan.js         | JavaScript |        267 |          3 |         14 |        284 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Petugas/Pages/LaporanBencana/KejadianBencana.js         | JavaScript |        352 |          4 |         14 |        370 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Petugas/Pages/LaporanBencana/KorbanJiwa.js              | JavaScript |        281 |          2 |         17 |        300 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Petugas/Pages/LaporanBencana/LaporanKerusakan.js        | JavaScript |        449 |         18 |         18 |        485 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Petugas/Pages/LaporanBencana/MenuLaporanBencana.js      | JavaScript |        132 |          1 |          9 |        142 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Petugas/Pages/LaporanBencana/NoDataBencana.js           | JavaScript |         96 |          2 |          9 |        107 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Petugas/Pages/LaporanBencana/Tabel.js                   | JavaScript |        101 |          0 |          7 |        108 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Petugas/Pages/LaporanBencana/TabelKerusakan.js          | JavaScript |        105 |          0 |          7 |        112 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Petugas/Pages/LaporanBencana/index.js                   | JavaScript |         39 |          1 |          6 |         46 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Petugas/Pages/LaporanBencana/style.css                  | CSS        |          8 |          1 |          1 |         10 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Petugas/Pages/LoginPetugas.js                           | JavaScript |        125 |          1 |         12 |        138 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Petugas/Pages/MainPetugas.js                            | JavaScript |         60 |          1 |          8 |         69 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Petugas/Pages/ProfilePetugas/DataProfilePetugas.js      | JavaScript |        223 |         10 |         13 |        246 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Petugas/Pages/ProfilePetugas/NoProfile.js               | JavaScript |        200 |          8 |         15 |        223 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Petugas/Pages/ProfilePetugas/index.js                   | JavaScript |         30 |          3 |          5 |         38 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Petugas/Pages/RegistrasiPetugas.js                      | JavaScript |        172 |          1 |         15 |        188 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Components/MenuBar.js                             | JavaScript |        164 |          0 |         11 |        175 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Components/MenuPosko.css                          | CSS        |          3 |          1 |          0 |          4 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Components/MenuPosko.js                           | JavaScript |        152 |          2 |         11 |        165 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/CustomizedSnackbars.js                            | JavaScript |         45 |          0 |          8 |         53 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/BantuanKeluarPosko/BantuanKeluar.css         | CSS        |         14 |          0 |          3 |         17 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/BantuanKeluarPosko/Confirmation.js           | JavaScript |         75 |          0 |          7 |         82 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/BantuanKeluarPosko/DataBantuanKeluar.js      | JavaScript |         55 |          0 |          4 |         59 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/BantuanKeluarPosko/FormBantuanKeluar.js      | JavaScript |        219 |          5 |         14 |        238 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/BantuanKeluarPosko/ItemData.js               | JavaScript |        162 |          9 |          7 |        178 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/BantuanKeluarPosko/NoData.js                 | JavaScript |         66 |          0 |          8 |         74 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/BantuanKeluarPosko/Table.js                  | JavaScript |         87 |          0 |          3 |         90 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/BantuanKeluarPosko/TableBantuanKeluar.js     | JavaScript |        144 |          0 |         10 |        154 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/BantuanKeluarPosko/index.js                  | JavaScript |         48 |          1 |          8 |         57 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/BantuanMasukPosko/BantuanMasukPosko.css      | CSS        |         14 |          0 |          3 |         17 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/BantuanMasukPosko/BantuanMasukPosko.js       | JavaScript |        115 |         11 |         11 |        137 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/BantuanMasukPosko/Confirmation.js            | JavaScript |         76 |          0 |          7 |         83 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/BantuanMasukPosko/DataBantuanMasuk.js        | JavaScript |         57 |          0 |          4 |         61 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/BantuanMasukPosko/FormBantuanMasuk.js        | JavaScript |        238 |         12 |         15 |        265 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/BantuanMasukPosko/InitData.js                | JavaScript |         87 |          1 |          7 |         95 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/BantuanMasukPosko/ItemData.js                | JavaScript |        162 |         10 |          7 |        179 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/BantuanMasukPosko/NoData.js                  | JavaScript |         66 |          0 |          7 |         73 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/BantuanMasukPosko/Table.js                   | JavaScript |         87 |          0 |          3 |         90 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/BantuanMasukPosko/TableBantuanMasuk.js       | JavaScript |        146 |          0 |         10 |        156 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/BantuanMasukPosko/index.js                   | JavaScript |         47 |          1 |          8 |         56 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/DataPengungsi/DataDataPengungsi.js           | JavaScript |        247 |          1 |         15 |        263 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/DataPengungsi/DataPengungsi.js               | JavaScript |         36 |          1 |          4 |         41 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/DataPengungsi/NoPengungsi.js                 | JavaScript |         79 |          0 |          7 |         86 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/DataPengungsi/Tabel.js                       | JavaScript |         99 |          0 |          7 |        106 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/DataPengungsi/style.css                      | CSS        |         20 |          0 |          7 |         27 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/FasilitasPosko/DataFasilitasPosko.js         | JavaScript |        178 |          3 |          8 |        189 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/FasilitasPosko/FasilitasPosko.js             | JavaScript |         33 |          1 |          6 |         40 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/FasilitasPosko/NoDataFasilitasPosko.js       | JavaScript |        164 |          1 |          8 |        173 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/FasilitasPosko/style.css                     | CSS        |          9 |          0 |          1 |         10 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/Login.js                                     | JavaScript |        144 |          1 |         13 |        158 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/MainPosko.js                                 | JavaScript |         58 |          8 |         11 |         77 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/Map.js                                       | JavaScript |         19 |          1 |          4 |         24 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/PermintaanBantuan/DataPermintaanBantuan.js   | JavaScript |        216 |          1 |         14 |        231 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/PermintaanBantuan/NoDataPermintaanBantuan.js | JavaScript |         80 |          0 |          8 |         88 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/PermintaanBantuan/PermintaanBantuan.js       | JavaScript |         35 |          1 |          6 |         42 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/PermintaanBantuan/Tabel.js                   | JavaScript |         96 |          0 |          8 |        104 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/PermintaanBantuan/style.css                  | CSS        |         20 |          0 |          6 |         26 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/PoskoBencana/DataPetugas.js                  | JavaScript |         92 |          0 |          8 |        100 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/PoskoBencana/EditProfile.js                  | JavaScript |        268 |          2 |         12 |        282 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/PoskoBencana/FormPorfile.js                  | JavaScript |        256 |          1 |         14 |        271 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/PoskoBencana/PoskoBencana.css                | CSS        |         22 |          1 |          2 |         25 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/PoskoBencana/PoskoBencana.js                 | JavaScript |         38 |          1 |          5 |         44 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/PoskoBencana/ProfilePosko.js                 | JavaScript |        191 |          2 |         11 |        204 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/PoskoBencana/TabelPetugas.js                 | JavaScript |         75 |          0 |          7 |         82 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/Registrasi-sample.js                         | JavaScript |        103 |          3 |          5 |        111 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/Posko/Page/Registrasi.js                                | JavaScript |        191 |          2 |         18 |        211 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/actions/alert.js                                        | JavaScript |         10 |          1 |          3 |         14 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/actions/auth.js                                         | JavaScript |        115 |          5 |         12 |        132 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/actions/authAdmin.js                                    | JavaScript |         90 |         11 |         12 |        113 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/actions/authPetugas.js                                  | JavaScript |         90 |         11 |         12 |        113 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/actions/bantuanKeluar.js                                | JavaScript |        106 |          4 |         14 |        124 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/actions/bantuanKeluarPos.js                             | JavaScript |        106 |          4 |         14 |        124 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/actions/bantuanMasuk.js                                 | JavaScript |        106 |          4 |         14 |        124 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/actions/bantuanMasukPos.js                              | JavaScript |        106 |          4 |         14 |        124 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/actions/dataBencana.js                                  | JavaScript |        174 |          9 |         25 |        208 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/actions/fasilitasPosko.js                               | JavaScript |         94 |          5 |         13 |        112 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/actions/pengungsi.js                                    | JavaScript |        120 |          6 |         18 |        144 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/actions/permintaanBantuan.js                            | JavaScript |        126 |          7 |         18 |        151 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/actions/profile.js                                      | JavaScript |        146 |          8 |         22 |        176 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/actions/profilePetugas.js                               | JavaScript |         48 |          2 |          9 |         59 |
| /Users/ardhian/Documents/TA FIX/my-final-project/src/actions/setBantuanUtama.js                              | JavaScript |        106 |          5 |         16 |        127 |
